,Nama Wilayah,2016,2017,2018,2019,2020,2021,2022,2023
252,Bondowoso,331975,343124.0,363443.0,380350,408352.0,423150.0,449760,494000.0
253,Situbondo,270406,276924.0,294209.0,305280,322527.0,336040.0,356133,396587.0
254,Probolinggo,373569,384343.0,402532.0,417991,441258.0,451395.0,475713,514274.0
255,Pasuruan,306311,315145.0,331057.0,335653,355299.0,368686.0,394016,429624.0
256,Sidoarjo,394401,414479.0,437899.0,462738,486421.0,502524.0,523213,571696.0
257,Mojokerto,330940,345487.0,370610.0,394003,406043.0,417784.0,445608,486520.0
258,Jombang,337217,353456.0,374895.0,399633,410116.0,421172.0,448830,488754.0
259,Nganjuk,341653,358216.0,388186.0,408160,428882.0,446232.0,474429,513565.0
260,Madiun,294451,306769.0,327536.0,344994,364638.0,380287.0,405127,437296.0
261,Magetan,288246,297874.0,319909.0,336989,354936.0,371182.0,396696,431203.0
262,Ngawi,264706,277539.0,301158.0,325235,342556.0,358663.0,382301,413947.0
263,Bojonegoro,295250,309564.0,330544.0,347786,362383.0,380653.0,403403,435936.0
264,Tuban,294543,308822.0,328268.0,348503,371465.0,388176.0,421287,454336.0
265,Lamongan,321002,335783.0,360444.0,380220,397980.0,419309.0,446601,481969.0
266,Gresik,393447,414261.0,438704.0,466154,492628.0,505499.0,536544,588316.0
267,Bangkalan,334338,349073.0,369455.0,389170,418908.0,432046.0,458754,503207.0
268,Sampang,296268,307606.0,325825.0,346075,374908.0,391032.0,411661,454716.0
269,Pamekasan,292631,302431.0,317144.0,332775,357074.0,368259.0,392345,431127.0
270,Sumenep,301781,313330.0,340033.0,357473,382491.0,400960.0,427882,471860.0
271,Kota Kediri,400096,420712.0,453807.0,471893,493438.0,506936.0,537326,587723.0
272,Kota Blitar,356147,383021.0,425832.0,456778,465868.0,481229.0,517363,568280.0
273,Kota Malang,426527,454061.0,507114.0,543966,554791.0,570238.0,609612,674660.0
274,Kota Probolinggo,418480,437392.0,479267.0,501505,524528.0,545955.0,575195,628380.0
275,Kota Pasuruan,362224,378593.0,415171.0,434435,441531.0,461624.0,486893,529512.0
276,Kota Mojokerto,364021,391489.0,437231.0,467997,482016.0,493452.0,531804,581006.0
277,Kota Madiun,376956,404959.0,446525.0,478304,497628.0,514409.0,551620,605131.0
278,Kota Surabaya,438283,474365.0,530178.0,567474,592137.0,611466.0,652540,718370.0
279,Kota Batu,398401,424354.0,467073.0,501016,509886.0,522819.0,564010,613985.0
280,BANTEN,367949,386753.0,431069.0,462726,508091.0,530363.0,570368,618721.0
281,Pandeglang,267752,285822.0,310859.0,326517,361713.0,390754.0,416248,455297.0
282,Lebak,246389,261880.0,283901.0,298201,334509.0,358479.0,380681,419066.0
283,Tangerang,405902,423486.0,451325.0,476636,520742.0,545065.0,576122,604362.0
284,Serang,256660,269652.0,294829.0,309036,341074.0,362102.0,385864,425751.0
285,Kota Tangerang,496349,508551.0,556782.0,584318,632835.0,655061.0,695225,746468.0
286,Kota Cilegon,347949,373147.0,428867.0,459469,504571.0,540032.0,572780,632703.0
287,Kota Serang,281926,296819.0,350237.0,379641,411595.0,431210.0,460613,511575.0
288,Kota Tangerang Selatan,472968,494784.0,549150.0,593781,643083.0,665610.0,712717,782543.0
289,BALI,338967,361387.0,382598.0,400624,429834.0,452221.0,485022,529643.0
290,Jembrana,354901,374057.0,385959.0,390102,403462.0,434839.0,458214,496435.0
291,Tabanan,392479,412561.0,422345.0,425926,450571.0,488750.0,522520,562801.0
292,Badung,470732,500885.0,534069.0,547186,587737.0,613993.0,633769,688018.0
293,Gianyar,339414,358496.0,378561.0,382380,400079.0,407945.0,434163,468307.0
294,Klungkung,284789,299664.0,310764.0,312864,318139.0,342043.0,359415,384983.0
295,Bangli,305200,321674.0,327668.0,329014,346458.0,370732.0,401650,436928.0
296,Karang Asem,288436,301720.0,311321.0,315805,330441.0,354123.0,376229,404083.0
297,Buleleng,350902,372399.0,395678.0,401377,424602.0,461018.0,496390,537262.0
298,Kota Denpasar,483821,512947.0,545357.0,571246,618064.0,662499.0,712815,778203.0
299,NUSA TENGGARA BARAT,333996,345341.0,365901.0,384880,404941.0,423505.0,459826,498996.0
300,Lombok Barat,375684,390979.0,412487.0,431862,439595.0,466495.0,503509,546421.0
301,Lombok Tengah,357337,369645.0,386676.0,404633,421439.0,447200.0,480657,520852.0
302,Lombok Timur,382861,396668.0,414721.0,430727,447263.0,472304.0,503525,546404.0
303,Sumbawa,296914,300643.0,320617.0,340254,369115.0,376307.0,404396,441977.0
304,Dompu,263458,266483.0,284188.0,328740,362142.0,370120.0,404413,442451.0
305,Bima,282854,288703.0,308695.0,327602,356352.0,363228.0,395040,429327.0
306,Sumbawa Barat,435890,444465.0,459065.0,468122,489863.0,499013.0,518619,565599.0
307,Lombok Utara,387265,398702.0,416705.0,437543,451721.0,478906.0,514755,556462.0
308,Kota Mataram,414115,428754.0,457950.0,480304,499959.0,524762.0,562661,616536.0
309,Kota Bima,293048,299346.0,323187.0,352593,383161.0,399193.0,432959,471841.0
310,NUSA TENGGARA TIMUR,322947,343396.0,354898.0,373922,403005.0,415116.0,460823,507203.0
311,Sumba Barat,290944,315066.0,326334.0,331713,358252.0,364361.0,395592,422382.0
312,Sumba Timur,295684,320199.0,331295.0,343589,370487.0,375859.0,414832,443502.0
313,Kupang,309208,325677.0,336984.0,356463,379600.0,386577.0,425750,471901.0
314,Timor Tengah Selatan,276727,293617.0,302124.0,318986,338099.0,344239.0,382167,420783.0
